problem,url,contest,year,solved by % (live contestants),acceptance rate %,solved by (in contest),contest tries,live contestants,topics
Daily Turnovers,https://codeforces.com/gym/103640/problem/D,2021-2022 ACM-ICPC Latin American Regional Programming Contest,2021,"0,3623188406","16,66666667",1,6,276,Data Structures; Sweep-line
Cyclists versus Clouds,https://codeforces.com/gym/103640/problem/C,2021-2022 ACM-ICPC Latin American Regional Programming Contest,2021,"0,3623188406",25,1,4,276,Graph Theory; Computational Geometry
Expedition Plans,https://codeforces.com/gym/103640/problem/E,2021-2022 ACM-ICPC Latin American Regional Programming Contest,2021,"0,3623188406","33,33333333",1,3,276,Dynamic Programming; Data Structures; Optimization Techniques
Ancient Towers,https://codeforces.com/gym/103640/problem/A,2021-2022 ACM-ICPC Latin American Regional Programming Contest,2021,0,0,0,11,276,Computational Geometry; Optimization Techniques
Generator Tree,https://codeforces.com/gym/103640/problem/G,2021-2022 ACM-ICPC Latin American Regional Programming Contest,2021,0,0,0,1,276,Trees; String Algorithms; Constructive Algorithms
Listing Passwords,https://codeforces.com/gym/103388/problem/L,2021-2022 ACM-ICPC Brazil Subregional Programming Contest,2021,"0,2732240437","5,555555556",2,36,732,Data Structures; String Algorithms; Number Theory
Assigning Prizes,https://codeforces.com/gym/103388/problem/A,2021-2022 ACM-ICPC Brazil Subregional Programming Contest,2021,"0,2732240437","5,555555556",2,36,732,Dynamic Programming; Combinatorics; Mathematics
Inverting Everything,https://codeforces.com/gym/103388/problem/I,2021-2022 ACM-ICPC Brazil Subregional Programming Contest,2021,0,#DIV/0!,0,0,732,Graph Theory; Bitwise Operations; Constructive Algorithms
Just Bootfall,https://codeforces.com/gym/103388/problem/J,2021-2022 ACM-ICPC Brazil Subregional Programming Contest,2021,0,0,0,6,732,Network Flow
Freedom from Prison,https://codeforces.com/gym/103388/problem/F,2021-2022 ACM-ICPC Brazil Subregional Programming Contest,2021,0,0,0,7,732,Computational Geometry; Trees; Dynamic Programming; Sweep-line
Between Us,https://codeforces.com/gym/102861/problem/K,2020-2021 ACM-ICPC Brazil Subregional Programming Contest,2020,"0,1771479185","2,564102564",2,78,1129,Mathematics; Graph Theory; Bitwise Operations
Concatenating Teams,https://codeforces.com/gym/102861/problem/C,2020-2021 ACM-ICPC Brazil Subregional Programming Contest,2020,"0,1771479185","1,5625",2,128,1129,String Algorithms
Collecting Data,https://codeforces.com/gym/102861/problem/J,2020-2021 ACM-ICPC Brazil Subregional Programming Contest,2020,0,0,0,4,1129,Combinatorics; Exhaustive Search / Backtracking; Constructive Algorithms
Divisibility Dance,https://codeforces.com/gym/102861/problem/D,2020-2021 ACM-ICPC Brazil Subregional Programming Contest,2020,0,0,0,8,1129,String Algorithms; Dynamic Programming; Number Theory
Venusian Shuttle,https://codeforces.com/gym/102861/problem/O,2020-2021 ACM-ICPC Brazil Subregional Programming Contest,2020,0,0,0,11,1129,Computational Geometry; Binary Search; Mathematics
